,Unnamed: 0,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
90,90,pebble,2999.0,6999.0,57.15102157,3.8,3563.0,Square,Black,Other,Yes,8.0,Yes,1.8,75.0
91,91,pebble,4499.0,7499.0,40.00533404,3.6,94.0,Square,Black,Other,Yes,12.5,Yes,1.3,42.5
92,92,pebble,3999.0,7999.0,44.0,3.6,725.0,Square,Black,Other,Yes,12.5,Yes,1.3,62.5
93,93,pebble,4299.0,7499.0,42.67235631,3.6,55.0,Square,Black,Other,Yes,22.0,Yes,1.1,42.5
96,96,fire-boltt,2499.0,9999.0,75.00750075,4.1,2571.0,Square,Black,Other,Yes,8.0,Yes,2.0,75.0
98,98,zebronics,2099.0,7999.0,73.7592199,3.8,7386.0,Square,Black,Metal,Yes,8.0,Yes,4.4,75.0
99,99,zebronics,1999.0,3999.0,50.01250313,3.8,2452.0,Square,Black,Other,Yes,8.0,Yes,3.5,75.0
100,100,zebronics,2449.0,8499.0,71.18484528,3.9,207.0,Square,Black,Other,Yes,8.0,Yes,4.3,42.5
101,101,zebronics,1399.0,3999.0,65.01625406,4.0,311.0,Square,Black,Other,Yes,22.0,Yes,4.3,42.5
102,102,zebronics,1799.0,6499.0,72.31881828,3.8,2138.0,Square,Black,Other,Yes,3.5,Yes,4.3,42.5
103,103,zebronics,3499.0,11499.0,69.57126707,4.2,52.0,Square,Black,Other,Yes,0.75,Yes,1.8,62.5
104,104,zebronics,3599.0,10999.0,67.27884353,3.9,1611.0,Square,Black,Other,Yes,8.0,Yes,4.5,62.5
105,105,zebronics,1999.0,6999.0,71.43877697,3.8,2138.0,Square,Black,Other,Yes,3.5,Yes,4.3,42.5
106,106,zebronics,2399.0,5999.0,60.01000167,3.8,3805.0,Square,Black,Other,Yes,22.0,Yes,4.4,42.5
107,107,zebronics,3999.0,7999.0,56.0,3.5,100.0,Square,Black,Other,Yes,8.0,Yes,4.4,75.0
108,108,zebronics,3599.0,10999.0,67.27884353,3.9,1611.0,Square,Black,Other,Yes,8.0,Yes,4.5,62.5
109,109,fire-boltt,1299.0,7999.0,83.76047006,4.2,25784.0,Square,Black,Silicon,Yes,8.0,Yes,1.7,42.5
110,110,fire-boltt,2499.0,11999.0,79.17326444,4.1,1990.0,Square,Black,Other,Yes,8.0,Yes,1.9,75.0
111,111,fire-boltt,1799.0,9999.0,82.00820082,4.2,33415.0,Square,Black,Silicon,Yes,8.0,Yes,1.3,62.5
112,112,fire-boltt,2499.0,9999.0,75.00750075,4.2,23302.0,Square,Black,Silicon,Yes,3.5,Yes,1.8,62.5
113,113,fire-boltt,2499.0,9999.0,75.00750075,4.2,23302.0,Square,Black,Silicon,Yes,3.5,Yes,1.8,62.5
114,114,fire-boltt,1794.0,7999.0,77.57219652,4.1,33012.0,Square,Black,Silicon,Yes,8.0,Yes,1.7,42.5
115,115,fire-boltt,3499.0,11999.0,70.8392366,4.1,44170.0,Square,Black,Silicon,Yes,3.5,Yes,1.9,75.0
116,116,fire-boltt,2499.0,18999.0,86.84667614,4.2,11.0,Square,Black,Other,Yes,3.5,Yes,1.9,75.0
117,117,fire-boltt,2499.0,11999.0,79.17326444,4.1,1990.0,Square,Black,Other,Yes,8.0,Yes,1.9,75.0
118,118,fire-boltt,1399.0,11999.0,88.34069506,4.1,1519.0,Square,Black,Silicon,Yes,8.0,Yes,1.8,75.0
119,119,fire-boltt,1899.0,8999.0,78.8976553,4.0,15543.0,Square,Black,Silicon,Yes,8.0,Yes,1.3,62.5
120,120,fire-boltt,1999.0,7999.0,75.00937617,4.1,33012.0,Square,Black,Silicon,Yes,8.0,Yes,1.7,42.5
121,121,fire-boltt,1799.0,11999.0,85.00708392,4.3,39274.0,Square,Black,Other,Yes,3.5,Yes,1.4,75.0
122,122,apple,29650.0,29900.0,0.836120401,4.5,154.0,Rectangle,Midnight,Silicon,Yes,22.0,Yes,1.6,20.0
123,123,apple,37900.0,7999.0,2.0,4.4,65.0,Rectangle,Starlight Sport,Silicon,Yes,22.0,Yes,1.7,20.0
124,124,apple,23349.0,23900.0,2.305439331,4.6,55800.0,Rectangle,Black,Silicon,Yes,22.0,Yes,1.7,20.0
125,125,apple,33900.0,7999.0,2.0,4.6,3440.0,Rectangle,Pink,Silicon,Yes,22.0,Yes,1.6,20.0
126,126,apple,89900.0,7999.0,2.0,4.7,51.0,Rectangle,Orange Alpine,Fabric,Yes,3.5,Yes,1.9,75.0
127,127,apple,55900.0,7999.0,2.0,4.5,132.0,Rectangle,Starlight Sport,Silicon,Yes,22.0,Yes,1.6,20.0
128,128,apple,44730.0,44900.0,0.378619154,4.6,2847.0,Rectangle,Green,Aluminium,Yes,22.0,Yes,1.8,27.5
129,129,apple,41900.0,7999.0,2.0,4.6,2847.0,Rectangle,Green,Aluminium,Yes,22.0,Yes,1.6,20.0
130,130,apple,29900.0,7999.0,2.0,4.6,5502.0,Rectangle,Gold,Silicon,Yes,22.0,Yes,1.6,20.0
131,131,apple,49666.0,50900.0,2.424361493,4.5,1519.0,Rectangle,Blue,Aluminium,Yes,22.0,Yes,1.6,20.0
132,132,apple,53900.0,7999.0,2.0,4.5,1519.0,Rectangle,Blue,Aluminium,Yes,22.0,Yes,1.8,27.5
133,133,apple,49900.0,7999.0,2.0,4.5,1349.0,Rectangle,Black,Silicon,Yes,22.0,Yes,1.6,27.5
134,134,apple,48900.0,7999.0,2.0,4.3,158.0,Rectangle,Starlight Sport,Silicon,Yes,22.0,Yes,1.8,27.5
135,135,apple,29900.0,7999.0,2.0,4.6,5502.0,Rectangle,Silver,Silicon,Yes,22.0,Yes,1.6,20.0
136,136,apple,29900.0,7999.0,2.0,4.6,5502.0,Rectangle,White,Silicon,Yes,22.0,Yes,1.6,20.0
137,137,apple,32899.0,32900.0,0.003039514,4.6,5502.0,Rectangle,Grey,Silicon,Yes,22.0,Yes,1.7,27.5
138,138,apple,22900.0,23900.0,4.184100418,4.6,55800.0,Rectangle,White,Silicon,Yes,22.0,Yes,1.7,20.0
139,139,apple,41900.0,7999.0,2.0,4.6,2847.0,Rectangle,Black,Aluminium,Yes,22.0,Yes,1.6,20.0
140,140,apple,53900.0,7999.0,2.0,4.5,1519.0,Rectangle,Green,Aluminium,Yes,22.0,Yes,1.8,27.5
141,141,apple,44900.0,7999.0,2.0,4.6,2847.0,Rectangle,Red,Aluminium,Yes,22.0,Yes,1.8,27.5
142,142,apple,44900.0,7999.0,2.0,4.6,2847.0,Rectangle,Blue,Aluminium,Yes,22.0,Yes,1.8,27.5
